"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"msrA","msr(A)","ABC-F type ribosomal protection protein Msr(A)","122","4","83","393","59.512195121951216","98.99244332493703","144.4156626506024","1.3308042237048574e-65","5.910101557473272e-62","5.910101557473272e-62","22","21","3","1.0967254638671875e-05","0.0008554458618164062"
"group_64","","hypothetical protein","87","4","118","393","42.4390243902439","98.99244332493703","72.4385593220339","5.705828932703701e-42","2.533958629013714e-38","1.266979314506857e-38","16","15","3","0.000518798828125","0.021270751953125"
"group_2928","","hypothetical protein","77","4","128","393","37.5609756097561","98.99244332493703","59.103515625","5.8469986029634025e-36","2.596652079576047e-32","6.491630198940117e-33","59","56","4","1.189326415129699e-13","1.6979681549678105e-12"
"ermC","ermC'","rRNA adenine N-6-methyltransferase","77","4","128","393","37.5609756097561","98.99244332493703","59.103515625","5.8469986029634025e-36","2.596652079576047e-32","6.491630198940117e-33","59","56","4","1.189326415129699e-13","1.6979681549678105e-12"
"group_1538","","hypothetical protein","77","6","128","391","37.5609756097561","98.48866498740554","39.201822916666664","7.608038545385812e-34","3.378729918005839e-30","5.631216530009732e-31","5","5","2","0.0625","1.0"
"group_54","","hypothetical protein","77","6","128","391","37.5609756097561","98.48866498740554","39.201822916666664","7.608038545385812e-34","3.378729918005839e-30","5.631216530009732e-31","5","5","2","0.0625","1.0"
"group_2446","","hypothetical protein","76","6","129","391","37.073170731707314","98.48866498740554","38.39276485788114","2.846627214875741e-33","1.2641871461263167e-29","1.5802339326578958e-30","4","4","2","0.125","1.0"
"group_2248","","hypothetical protein","76","6","129","391","37.073170731707314","98.48866498740554","38.39276485788114","2.846627214875741e-33","1.2641871461263167e-29","1.5802339326578958e-30","4","4","2","0.125","1.0"
"group_1793","","hypothetical protein","91","19","114","378","44.390243902439025","95.21410579345087","15.880886426592797","1.221092479624326e-31","5.422871702011632e-28","6.025413002235147e-29","15","9","10","0.30175781249999994","0.6072387695312499"
"group_661","","hypothetical protein","76","8","129","389","37.073170731707314","97.98488664987406","28.647286821705425","2.0204706412077636e-31","8.972910117603678e-28","8.972910117603678e-29","5","4","3","0.375","1.0"
"group_1967","","hypothetical protein","78","10","127","387","38.048780487804876","97.48110831234257","23.768503937007875","7.3793863431725735e-31","3.27718547500294e-27","2.4588076928210895e-28","2","2","1","0.5","1.0"
"group_2517","","hypothetical protein","83","14","122","383","40.487804878048784","96.4735516372796","18.611826697892273","1.3358663869473384e-30","5.93258262443313e-27","2.4588076928210895e-28","11","8","4","0.2265625","0.548828125"
"nikE_1","nikE_1","Nickel import ATP-binding protein NikE","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"cmoB","cmoB","tRNA U34 carboxymethyltransferase","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"group_2059","","hypothetical protein","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"cntD_2","cntD_2","Metal-staphylopine import system ATP-binding protein CntD","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"group_1948","","IS3 family transposase ISSau4","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"group_1942","","Monoacylglycerol lipase","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"group_1607","","hypothetical protein","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"nikB_1","nikB_1","Nickel import system permease protein NikB","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"group_1372","","hypothetical protein","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"group_1334","","hypothetical protein","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"speG","speG","Spermidine N(1)-acetyltransferase","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"xylB_2~~~adhD",";xylB_2;adhD","S-(hydroxymethyl)mycothiol dehydrogenase;Aryl-alcohol dehydrogenase;Putative alcohol dehydrogenase D","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"group_147","","hypothetical protein","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"cntA_2",";cntA_2","hypothetical protein;Metal-staphylopine-binding protein CntA","76","9","129","388","37.073170731707314","97.73299748110831","25.39879414298019","1.439518126848645e-30","6.392900001334832e-27","2.4588076928210895e-28","2","1","2","0.5","1.0"
"group_2520","hsdM","Type I restriction enzyme EcoKI M protein","77","10","128","387","37.5609756097561","97.48110831234257","23.28046875","2.633999573353808e-30","1.1697592105264261e-26","4.177711466165807e-28","3","2","2","1.0","1.0"
"group_1059","","IS110 family transposase ISSep2","77","10","128","387","37.5609756097561","97.48110831234257","23.28046875","2.633999573353808e-30","1.1697592105264261e-26","4.177711466165807e-28","3","2","2","1.0","1.0"
"uppP_2","uppP_2","Undecaprenyl-diphosphatase","61","2","144","395","29.756097560975608","99.49622166246851","83.66319444444444","3.3736018057784597e-29","1.498216561946214e-25","4.406519299841806e-27","8","7","1","0.0703125","0.0703125"
"graS_3","graS_3;","Sensor histidine kinase GraS;hypothetical protein","61","2","144","395","29.756097560975608","99.49622166246851","83.66319444444444","3.3736018057784597e-29","1.498216561946214e-25","4.406519299841806e-27","8","7","1","0.0703125","0.0703125"
"bcrB","bcrB","Bacitracin transport permease protein BcrB","61","2","144","395","29.756097560975608","99.49622166246851","83.66319444444444","3.3736018057784597e-29","1.498216561946214e-25","4.406519299841806e-27","8","7","1","0.0703125","0.0703125"
"bcrA_4","bcrA_4;","Bacitracin transport ATP-binding protein BcrA;hypothetical protein","61","2","144","395","29.756097560975608","99.49622166246851","83.66319444444444","3.3736018057784597e-29","1.498216561946214e-25","4.406519299841806e-27","8","7","1","0.0703125","0.0703125"
"graR_3","graR_3","Response regulator protein GraR","61","2","144","395","29.756097560975608","99.49622166246851","83.66319444444444","3.3736018057784597e-29","1.498216561946214e-25","4.406519299841806e-27","8","7","1","0.0703125","0.0703125"
"group_78","","hypothetical protein","61","2","144","395","29.756097560975608","99.49622166246851","83.66319444444444","3.3736018057784597e-29","1.498216561946214e-25","4.406519299841806e-27","8","7","1","0.0703125","0.0703125"
"arcR_2","arcR_2","HTH-type transcriptional regulator ArcR","76","11","129","386","37.073170731707314","97.22921914357683","20.67371388301621","5.562081883867164e-29","2.4701205646254075e-25","6.024684303964408e-27","3","1","3","0.25","1.0"
"arcC1_2","arcC1_2","Carbamate kinase 1","76","11","129","386","37.073170731707314","97.22921914357683","20.67371388301621","5.562081883867164e-29","2.4701205646254075e-25","6.024684303964408e-27","3","1","3","0.25","1.0"
"argF_2","argF_2","Ornithine carbamoyltransferase","76","11","129","386","37.073170731707314","97.22921914357683","20.67371388301621","5.562081883867164e-29","2.4701205646254075e-25","6.024684303964408e-27","3","1","3","0.25","1.0"
"arcA_2","arcA_2","Arginine deiminase","76","11","129","386","37.073170731707314","97.22921914357683","20.67371388301621","5.562081883867164e-29","2.4701205646254075e-25","6.024684303964408e-27","3","1","3","0.25","1.0"
"argR_3","argR_3","Arginine repressor","76","11","129","386","37.073170731707314","97.22921914357683","20.67371388301621","5.562081883867164e-29","2.4701205646254075e-25","6.024684303964408e-27","3","1","3","0.25","1.0"
"arcD_2","arcD_2","Arginine/ornithine antiporter","76","11","129","386","37.073170731707314","97.22921914357683","20.67371388301621","5.562081883867164e-29","2.4701205646254075e-25","6.024684303964408e-27","3","1","3","0.25","1.0"
"group_164","","hypothetical protein","76","11","129","386","37.073170731707314","97.22921914357683","20.67371388301621","5.562081883867164e-29","2.4701205646254075e-25","6.024684303964408e-27","3","1","3","0.25","1.0"
"satA","satA","Streptothricin acetyltransferase A","89","23","116","374","43.41463414634146","94.20654911838791","12.476011994002999","3.714240945903128e-28","1.649494404075579e-24","3.927367628751379e-26","20","13","7","0.26317596435546875","0.26317596435546875"
"group_1851","","hypothetical protein","82","17","123","380","40.0","95.71788413098237","14.901960784313726","4.760326733435518e-28","2.1140611023187136e-24","4.916421168183055e-26","10","5","7","0.34375","1.0"
"aphA","aphA","Aminoglycoside 3'-phosphotransferase","89","25","116","372","43.41463414634146","93.70277078085643","11.41655172413793","4.6797218629811185e-27","2.0782644793499147e-23","4.723328362158897e-25","20","13","7","0.26317596435546875","0.26317596435546875"
"group_1477","","hypothetical protein","97","34","108","363","47.3170731707317","91.43576826196474","9.5890522875817","1.2169341617401056e-26","5.404404612287809e-23","1.1748705678886542e-24","3","3","1","0.25","1.0"
"group_981","","hypothetical protein","97","34","108","363","47.3170731707317","91.43576826196474","9.5890522875817","1.2169341617401056e-26","5.404404612287809e-23","1.1748705678886542e-24","3","3","1","0.25","1.0"
"group_1486","","hypothetical protein","108","362","97","35","52.6829268292683","8.816120906801007","0.10764937062140457","4.968809048522201e-26","2.2066480984487094e-22","4.69499595414619e-24","3","2","3","0.25","1.0"
"acuI","acuI","putative acrylyl-CoA reductase AcuI","80","19","125","378","39.02439024390244","95.21410579345087","12.732631578947368","8.693789286199582e-26","3.8609118220012345e-22","7.879411881635173e-24","11","8","8","0.2265625","0.2265625"
"group_818","","hypothetical protein","80","19","125","378","39.02439024390244","95.21410579345087","12.732631578947368","8.693789286199582e-26","3.8609118220012345e-22","7.879411881635173e-24","11","8","8","0.2265625","0.2265625"
"group_1360","","hypothetical protein","77","17","128","380","37.5609756097561","95.71788413098237","13.446691176470589","1.9116958089406e-25","8.489841087505206e-22","1.697968217501041e-23","9","3","9","0.00390625","0.5078125"
"group_1658","","hypothetical protein","107","359","98","38","52.19512195121951","9.571788413098236","0.11557046216815417","3.265036779467952e-25","1.4500028337617175e-21","2.8431428112974853e-23","4","3","4","0.125","0.625"
"group_2215","","hypothetical protein","66","9","139","388","32.19512195121951","97.73299748110831","20.47002398081535","3.4776345428550458e-25","1.5444175004819257e-21","2.913995283928162e-23","2","1","2","0.5","1.0"
"group_2062","","hypothetical protein","66","9","139","388","32.19512195121951","97.73299748110831","20.47002398081535","3.4776345428550458e-25","1.5444175004819257e-21","2.913995283928162e-23","2","1","2","0.5","1.0"
"group_1318","","hypothetical protein","84","24","121","373","40.97560975609756","93.95465994962217","10.789256198347108","4.833795529344491e-25","2.1466885945818885e-21","3.90307017196707e-23","9","4","6","0.5078125","1.0"
"group_629","","hypothetical protein","84","24","121","373","40.97560975609756","93.95465994962217","10.789256198347108","4.833795529344491e-25","2.1466885945818885e-21","3.90307017196707e-23","9","4","6","0.5078125","1.0"
"group_2357","","hypothetical protein","76","17","129","380","37.073170731707314","95.71788413098237","13.169174646602826","6.18895772106566e-25","2.7485161239252594e-21","4.5057641375823927e-23","8","2","8","0.0078125","0.2890625"
"group_2294","","hypothetical protein","76","17","129","380","37.073170731707314","95.71788413098237","13.169174646602826","6.18895772106566e-25","2.7485161239252594e-21","4.5057641375823927e-23","8","2","8","0.0078125","0.2890625"
"group_1487","","hypothetical protein","76","17","129","380","37.073170731707314","95.71788413098237","13.169174646602826","6.18895772106566e-25","2.7485161239252594e-21","4.5057641375823927e-23","8","2","8","0.0078125","0.2890625"
"group_1124","","hypothetical protein","76","17","129","380","37.073170731707314","95.71788413098237","13.169174646602826","6.18895772106566e-25","2.7485161239252594e-21","4.5057641375823927e-23","8","2","8","0.0078125","0.2890625"
"group_1096","","hypothetical protein","76","17","129","380","37.073170731707314","95.71788413098237","13.169174646602826","6.18895772106566e-25","2.7485161239252594e-21","4.5057641375823927e-23","8","2","8","0.0078125","0.2890625"
"group_982","","hypothetical protein","76","17","129","380","37.073170731707314","95.71788413098237","13.169174646602826","6.18895772106566e-25","2.7485161239252594e-21","4.5057641375823927e-23","8","2","8","0.0078125","0.2890625"
"group_2061","","hypothetical protein","97","38","108","359","47.3170731707317","90.42821158690177","8.485136452241715","9.058372045073386e-25","4.022823025217091e-21","6.488424234221114e-23","10","3","9","0.021484375","0.34375"
"group_2067","","hypothetical protein","65","9","140","388","31.70731707317073","97.73299748110831","20.015873015873016","1.1554667920369135e-24","5.1314280234359326e-21","8.145123846723703e-23","3","1","3","0.25","1.0"
"group_1736","","hypothetical protein","96","38","109","359","46.82926829268293","90.42821158690177","8.32061805890874","2.6068355337589842e-24","1.1576956605423649e-20","1.8088994695974451e-22","11","3","10","0.01171875","0.2265625"
"group_1899","","hypothetical protein","86","28","119","369","41.951219512195124","92.9471032745592","9.524009603841536","8.478975840796922e-24","3.7655131708979134e-20","5.79309718599679e-22","10","6","7","0.34375","0.75390625"
"ydhK","ydhK","putative protein YdhK","97","41","108","356","47.3170731707317","89.67254408060454","7.7985546522131886","1.500572637128557e-23","6.664043081487922e-20","1.0097034971951397e-21","10","6","7","0.34375","0.75390625"
"scdA","scdA","Iron-sulfur cluster repair protein ScdA","94","338","111","59","45.85365853658537","14.86146095717884","0.14782237859160935","3.3623860503969376e-23","1.49323564498128e-19","2.1959347720312947e-21","5","3","4","0.375","1.0"
"group_2309","scdA","Iron-sulfur cluster repair protein ScdA","111","59","94","338","54.146341463414636","85.13853904282117","6.764875586007934","3.362386050396938e-23","1.4932356449812803e-19","2.1959347720312947e-21","5","4","3","0.375","1.0"
"group_1852","","hypothetical protein","83","27","122","370","40.487804878048784","93.19899244332494","9.323011536126291","7.793749138461333e-23","3.461203992390678e-19","5.0162376701314175e-21","7","5","5","0.453125","0.453125"
"group_1581","","hypothetical protein","75","21","130","376","36.58536585365854","94.7103274559194","10.32967032967033","3.45653922372126e-22","1.5350490692546116e-18","2.1620409426121292e-20","10","2","9","0.021484375","0.109375"
"group_988","","hypothetical protein","75","21","130","376","36.58536585365854","94.7103274559194","10.32967032967033","3.45653922372126e-22","1.5350490692546116e-18","2.1620409426121292e-20","10","2","9","0.021484375","0.109375"
"group_1707","","hypothetical protein","99","341","106","56","48.292682926829265","14.105793450881613","0.15337796713329277","4.544331048479305e-22","2.0181374186296596e-18","2.8029686369856384e-20","6","2","6","0.03125","0.6875"
"group_1781","","hypothetical protein","122","79","83","318","59.512195121951216","80.10075566750629","5.916730211987189","5.18382577008443e-22","2.3021370244944954e-18","3.1536123623212263e-20","24","11","14","0.5412561893463135","0.8388197422027588"
"group_1849","","hypothetical protein","81","27","124","370","39.51219512195122","93.19899244332494","8.951612903225806","5.298618892998903e-22","2.3531166503808127e-18","3.179887365379477e-20","5","3","5","0.0625","1.0"
"group_1549","","hypothetical protein","136","103","69","294","66.34146341463415","74.05541561712846","5.626002532714225","9.697203958397792e-22","4.3065282779244595e-18","5.742037703899279e-20","5","5","3","0.0625","1.0"
"group_1972","","hypothetical protein","86","34","119","363","41.951219512195124","91.43576826196474","7.715768660405339","3.1425649146240227e-21","1.3956130785845284e-17","1.7445163482306604e-19","2","2","1","0.5","1.0"
"group_1943","","hypothetical protein","86","34","119","363","41.951219512195124","91.43576826196474","7.715768660405339","3.1425649146240227e-21","1.3956130785845284e-17","1.7445163482306604e-19","2","2","1","0.5","1.0"
"group_1003","","hypothetical protein","86","34","119","363","41.951219512195124","91.43576826196474","7.715768660405339","3.1425649146240227e-21","1.3956130785845284e-17","1.7445163482306604e-19","2","2","1","0.5","1.0"
"group_931","","hypothetical protein","86","34","119","363","41.951219512195124","91.43576826196474","7.715768660405339","3.1425649146240227e-21","1.3956130785845284e-17","1.7445163482306604e-19","2","2","1","0.5","1.0"
"group_374","","hypothetical protein","86","34","119","363","41.951219512195124","91.43576826196474","7.715768660405339","3.1425649146240227e-21","1.3956130785845284e-17","1.7445163482306604e-19","2","2","1","0.5","1.0"
"copB","copB","Copper-exporting P-type ATPase B","101","52","104","345","49.26829268292683","86.90176322418137","6.44323224852071","3.625200193954121e-21","1.6099514061350254e-17","1.9875943285617597e-19","15","10","10","0.30175781249999994","0.30175781249999994"
"group_660","","hypothetical protein","98","49","107","348","47.80487804878049","87.6574307304786","6.5046728971962615","6.886648806742436e-21","3.0583607350743153e-17","3.6409056369932327e-19","7","5","4","0.453125","1.0"
"group_122","","hypothetical protein","98","49","107","348","47.80487804878049","87.6574307304786","6.5046728971962615","6.886648806742436e-21","3.0583607350743153e-17","3.6409056369932327e-19","7","5","4","0.453125","1.0"
"group_75","","hypothetical protein","98","49","107","348","47.80487804878049","87.6574307304786","6.5046728971962615","6.886648806742436e-21","3.0583607350743153e-17","3.6409056369932327e-19","7","5","4","0.453125","1.0"
"lpl2_6","lpl2_6","putative lipoprotein","85","34","120","363","41.46341463414634","91.43576826196474","7.5625","8.505723745145601e-21","3.7773919152191616e-17","4.443990488493131e-19","4","3","3","0.625","0.625"
"group_2475","","hypothetical protein","86","36","119","361","41.951219512195124","90.93198992443325","7.246965452847806","2.2785476627896714e-20","1.0119030170448931e-16","1.1766314151684803e-18","4","2","3","0.625","1.0"
"group_1832","","hypothetical protein","85","36","120","361","41.46341463414634","90.93198992443325","7.1030092592592595","5.881990806190432e-20","2.6121921170291707e-16","3.0025196747461733e-18","5","3","4","0.375","1.0"
"xerD_4~~~xerD_2","xerD_4;xerD_2","Tyrosine recombinase XerD","82","33","123","364","40.0","91.68765743073047","7.353535353535354","7.526654493605771e-20","3.342587260610323e-16","3.798394614329912e-18","9","3","7","0.1796875","0.5078125"
"group_1582","","hypothetical protein","87","317","118","80","42.4390243902439","20.151133501259448","0.18606640645885686","8.822636211672049e-20","3.918132741603557e-16","4.402396338880401e-18","5","3","5","0.0625","1.0"
"group_159","","hypothetical protein","116","78","89","319","56.58536585365853","80.35264483627203","5.330452319216364","1.4222468023796167e-19","6.316198049367877e-16","7.017997832630975e-18","5","5","2","0.0625","1.0"
"group_1004","","IS3 family transposase ISSau4","91","47","114","350","44.390243902439025","88.16120906801007","5.944382232176185","1.4997265142703146e-18","6.660285449874467e-15","7.318994999862051e-17","13","6","9","0.266845703125","1.0"
"repE","repE","Replication initiation protein","100","59","105","338","48.78048780487805","85.13853904282117","5.456012913640032","2.2085709784712042e-18","9.808263715390618e-15","1.0434323101479381e-16","7","6","4","0.125","1.0"
"repN","repN","Replication initiation protein","100","59","105","338","48.78048780487805","85.13853904282117","5.456012913640032","2.2085709784712042e-18","9.808263715390618e-15","1.0434323101479381e-16","7","6","4","0.125","1.0"
"group_435","","hypothetical protein","100","59","105","338","48.78048780487805","85.13853904282117","5.456012913640032","2.2085709784712042e-18","9.808263715390618e-15","1.0434323101479381e-16","7","6","4","0.125","1.0"
"group_684","","IS200/IS605 family transposase ISSep3","99","58","106","339","48.292682926829265","85.3904282115869","5.4588484059856865","3.5737336137604304e-18","1.5870950978710072e-14","1.6706264188115865e-16","7","6","4","0.125","1.0"
"group_1499","","hypothetical protein","101","61","104","336","49.26829268292683","84.63476070528966","5.349306431273645","3.7138950398224335e-18","1.6493407871851426e-14","1.7180633199845236e-16","20","7","16","0.01181793212890625","0.26317596435546875"
"group_1914","","hypothetical protein","35","0","170","397","17.073170731707318","100.0","inf","5.313059199710111e-18","2.3595295905912604e-14","2.4325047325683096e-16","7","7","0","0.015625","0.015625"
"group_2084","","hypothetical protein","86","45","119","352","41.951219512195124","88.66498740554157","5.6530345471521946","4.1324160354633685e-17","1.8352059613492819e-13","1.872659144233961e-15","4","3","2","0.625","1.0"
"group_2358","","hypothetical protein","81","41","124","356","39.51219512195122","89.67254408060454","5.671911880409127","2.1690139420997518e-16","9.632590916864998e-13","9.72988981501515e-15","11","5","8","0.2265625","1.0"
"group_2388","","hypothetical protein","78","38","127","359","38.048780487804876","90.42821158690177","5.802320762536262","3.3281279665837694e-16","1.478021629959852e-12","1.478021629959852e-14","10","2","9","0.021484375","0.109375"
"group_1420","","hypothetical protein","95","60","110","337","46.34146341463415","84.88664987405542","4.850757575757576","6.248535229651783e-16","2.774974495488357e-12","2.7474995004835217e-14","4","3","3","0.625","0.625"
"group_1819","","hypothetical protein","82","44","123","353","40.0","88.9168765743073","5.348484848484849","1.2488703914369926e-15","5.546233408371684e-12","5.4374837336977296e-14","16","4","13","0.021270751953125","0.076812744140625"
"group_1669","","hypothetical protein","97","65","108","332","47.3170731707317","83.6272040302267","4.5874643874643874","2.089340866393199e-15","9.278762787652196e-12","8.836916940621139e-14","6","5","4","0.21875","0.6875"
"group_1668","","hypothetical protein","97","65","108","332","47.3170731707317","83.6272040302267","4.5874643874643874","2.089340866393199e-15","9.278762787652196e-12","8.836916940621139e-14","6","5","4","0.21875","0.6875"
"group_1518","","hypothetical protein","97","65","108","332","47.3170731707317","83.6272040302267","4.5874643874643874","2.089340866393199e-15","9.278762787652196e-12","8.836916940621139e-14","6","5","4","0.21875","0.6875"
"lpl2_3~~~lpl2_2~~~lpl2_4~~~lpl2_1","lpl2_3;lpl2_2;lpl2_4;lpl2_1","putative lipoprotein","143","142","62","255","69.7560975609756","64.23173803526448","4.141867333030441","2.1243423795171584e-15","9.4342045074357e-12","8.900192931543113e-14","15","10","10","0.30175781249999994","0.30175781249999994"
"group_702","","hypothetical protein","54","238","151","159","26.34146341463415","40.050377833753146","0.2389114586231844","2.639607115054719e-15","1.1722495197958006e-11","1.0955602988745801e-13","9","8","7","0.0390625","0.1796875"
"group_1875","","IS6 family transposase IS1216E;IS6 family transposase IS431R;IS6 family transposase IS431mec","74","36","131","361","36.09756097560975","90.93198992443325","5.664546225614928","3.172653447973415e-15","1.4089753962449936e-11","1.304606848374994e-13","26","18","9","0.07551869750022888","0.16863754391670227"
"group_1149","","hypothetical protein","47","223","158","174","22.926829268292686","43.8287153652393","0.2321053527842425","3.273078131896606e-15","1.4535739983752827e-11","1.3239440595725276e-13","10","6","6","0.75390625","0.75390625"
"group_2122","","hypothetical protein","96","64","109","333","46.82926829268293","83.87909319899244","4.58256880733945","3.2793030072726425e-15","1.4563384655297804e-11","1.3239440595725276e-13","5","4","4","0.375","0.375"
"group_1497","","hypothetical protein","110","85","95","312","53.65853658536586","78.58942065491183","4.25015479876161","3.790847024471464e-15","1.6835151635677773e-11","1.516680327538538e-13","37","10","30","0.00019107642583549023","0.007632078602910042"
"group_1820","","hypothetical protein","77","40","128","357","37.5609756097561","89.92443324937027","5.3689453125","6.902487591317511e-15","3.065394739304107e-11","2.736959588664381e-13","10","3","9","0.021484375","0.34375"
"group_1193","","hypothetical protein","91","59","114","338","44.390243902439025","85.13853904282117","4.573000297353554","9.652680411050419e-15","4.286755370547491e-11","3.793588823493355e-13","21","7","16","0.02660369873046875","0.18924713134765625"
"group_1544","","hypothetical protein","96","66","109","331","46.82926829268293","83.37531486146096","4.417014178482068","1.0402178574323976e-14","4.619607504857278e-11","4.0522872849625244e-13","7","5","6","0.125","0.453125"
"group_1783","","hypothetical protein","50","226","155","171","24.390243902439025","43.07304785894207","0.24407650585212676","1.566515675378862e-14","6.956896114357525e-11","6.049474882050022e-13","6","5","4","0.21875","0.6875"
"group_2299","","hypothetical protein","85","53","120","344","41.46341463414634","86.64987405541562","4.59748427672956","3.865408039256156e-14","1.716627710233659e-10","1.4798514743393612e-12","11","6","8","0.2265625","1.0"
"lpl2_4~~~lpl2_2~~~lpl2_1~~~lpl2_3~~~lpl2_5","lpl2_4;lpl2_2;lpl2_1;lpl2_3;lpl2_5","putative lipoprotein","138","140","67","257","67.31707317073172","64.73551637279597","3.7810234541577827","7.026508622568489e-14","3.1204724792826657e-10","2.6670704951133895e-12","11","9","9","0.0654296875","0.0654296875"
"aldC_1","aldC_1","Alpha-acetolactate decarboxylase","115","99","90","298","56.09756097560976","75.06297229219143","3.846240179573513","8.121862036988042e-14","3.6069189306263897e-10","3.0567109581579573e-12","6","6","3","0.03125","1.0"
"group_1552","","hypothetical protein","33","182","172","215","16.097560975609756","54.15617128463476","0.22664835164835165","9.689903476514842e-14","4.3032861339202415e-10","3.586071778266868e-12","8","6","7","0.0703125","0.2890625"
"yjdF","yjdF","putative protein YjdF","33","182","172","215","16.097560975609756","54.15617128463476","0.22664835164835165","9.689903476514842e-14","4.3032861339202415e-10","3.586071778266868e-12","8","6","7","0.0703125","0.2890625"
"prmC_1~~~prmC_2",";prmC_1;prmC_2","hypothetical protein;Release factor glutamine methyltransferase;putative type I restriction enzymeP M protein","99","312","106","85","48.292682926829265","21.41057934508816","0.25444484760522496","1.1656980488027912e-13","5.176865034733195e-10","4.278400855151401e-12","19","14","10","0.063568115234375","1.0"
"aldC_1~~~aldC_2","aldC_1;aldC_2","Alpha-acetolactate decarboxylase","91","298","114","99","44.390243902439025","24.937027707808564","0.26518897915930767","1.685536341460665e-13","7.485466892426814e-10","6.1356286003498475e-12","5","3","5","0.0625","1.0"
"group_1566","","hypothetical protein","102","80","103","317","49.75609756097561","79.84886649874056","3.924029126213592","2.220026648432972e-13","9.85913834569083e-10","8.01555963064295e-12","14","5","11","0.057373046875","0.4239501953125"
"group_1508","","hypothetical protein","84","55","121","342","40.97560975609756","86.14609571788414","4.316754320060105","2.875408223152664e-13","1.276968791902098e-09","1.0298135418565307e-11","20","8","15","0.04138946533203125","0.5034446716308594"
"group_1369","","hypothetical protein","83","54","122","343","40.487804878048784","86.39798488664987","4.321341833636915","4.106167411608919e-13","1.823548947495521e-09","1.4588391579964167e-11","15","7","10","0.30175781249999994","1.0"
"lpl2_5~~~lpl2_3",";lpl2_5;lpl2_3","putative protein;putative lipoprotein","107","90","98","307","52.19512195121951","77.32997481108312","3.72437641723356","7.880991817409977e-13","3.4999484661117706e-09","2.7777368778664847e-11","9","9","5","0.00390625","1.0"
"map_5~~~map_1","map_5;map_1;","Protein map;65 kDa membrane protein","124","120","81","277","60.48780487804878","69.77329974811083","3.533744855967078","1.3752605590281766e-12","6.107532142644132e-09","4.809080427278844e-11","3","3","3","0.25","0.25"
"group_1473","","hypothetical protein","155","182","50","215","75.60975609756098","54.15617128463476","3.662087912087912","1.535283182951833e-12","6.81819261548909e-09","5.3267129808508514e-11","14","12","9","0.012939453125","0.4239501953125"
"group_2372","","hypothetical protein","44","201","161","196","21.463414634146343","49.37027707808564","0.2664936188622107","2.7278770498604656e-12","1.2114501978430327e-08","9.108648104082953e-11","33","24","16","0.013530986849218607","1.0"
"pre_1","pre_1;","Plasmid recombination enzyme;hypothetical protein","44","201","161","196","21.463414634146343","49.37027707808564","0.2664936188622107","2.7278770498604656e-12","1.2114501978430327e-08","9.108648104082953e-11","33","24","16","0.013530986849218607","1.0"
"pre~~~pre_1~~~pre_2","pre;pre_1;pre_2","Plasmid recombination enzyme","44","201","161","196","21.463414634146343","49.37027707808564","0.2664936188622107","2.7278770498604656e-12","1.2114501978430327e-08","9.108648104082953e-11","33","24","16","0.013530986849218607","1.0"
